CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,Country,Cluster,ClusterLabel,CLV,ChurnRisk,ChurnScore,R_Score,F_Score,M_Score,RFM_Score,Segment,Recommendation
12381,5,5,1845.31,21.21045977011494,808,70,Norway,0,Active Mid,1864.2,Low,1.3,4,3,4,11,Champions,Reward with loyalty program & early access
12383,185,5,1850.56,18.69252525252525,1532,84,Belgium,1,Dormant Low,957.55,High,49.5,1,3,4,8,Loyal Customers,Upsell premium products & bundles
12384,29,2,585.27,21.676666666666666,126,26,Switzerland,0,Active Mid,545.05,Low,7.8,3,2,2,7,Potential Loyalists,Offer membership & personalized offers
12386,338,2,401.9,40.19,354,10,Australia,1,Dormant Low,39.06,High,90.4,1,2,2,5,At Risk,Send win-back campaign with 20% discount
12388,16,6,2780.66,27.8066,1462,57,Australia,0,Active Mid,2738.11,Low,4.3,4,4,4,12,Champions,Reward with loyalty program & early access
12390,80,1,549.84,17.1825,353,32,Belgium,0,Active Mid,434.3,Medium,21.4,2,1,2,5,At Risk,Send re-engagement email with offers
12391,22,1,460.89,4.6089,300,92,Cyprus,0,Active Mid,435.85,Low,5.9,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12393,72,4,1582.6000000000001,24.728125000000002,816,47,Australia,0,Active Mid,1302.39,Medium,19.3,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12394,64,2,1272.48,47.12888888888889,819,26,Belgium,0,Active Mid,1064.82,Medium,17.1,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12395,19,12,3018.63,19.350192307692307,2118,91,Belgium,0,Active Mid,3029.79,Low,5.1,3,4,4,11,Champions,Reward with loyalty program & early access
12397,36,2,2409.9,19.126190476190477,1263,110,Belgium,0,Active Mid,2198.77,Low,9.6,3,2,4,9,Loyal Customers,Upsell premium products & bundles
12398,46,1,1635.6599999999999,19.24305882352941,1394,85,Switzerland,0,Active Mid,1441.35,Medium,12.3,3,1,3,7,Potential Loyalists,Offer membership & personalized offers
12399,119,4,1108.65,18.790677966101697,1178,47,Belgium,0,Active Mid,770.36,High,31.8,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12401,303,1,84.3,16.86,11,5,Belgium,1,Dormant Low,16.08,High,81.0,1,1,1,3,Lost,Last chance discount or remove from list
12402,323,1,225.6,20.509090909090908,94,11,Belgium,1,Dormant Low,30.91,High,86.4,1,1,1,3,Lost,Last chance discount or remove from list
12403,50,1,427.7,85.53999999999999,96,5,Denmark,0,Active Mid,372.29,Medium,13.4,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12405,149,1,1710.39,31.67388888888889,857,54,Finland,1,Dormant Low,1033.9,High,39.8,1,1,4,6,Potential Loyalists,Offer membership & personalized offers
12406,22,2,3415.3,32.52666666666667,1818,92,Denmark,0,Active Mid,3245.16,Low,5.9,3,2,4,9,Loyal Customers,Upsell premium products & bundles
12407,50,5,1708.1200000000001,22.183376623376624,1416,57,Belgium,0,Active Mid,1515.16,Medium,13.4,3,3,4,10,Champions,Reward with loyalty program & early access
12408,33,5,2888.55,27.51,1409,81,Belgium,0,Active Mid,2696.68,Low,8.8,3,3,4,10,Champions,Reward with loyalty program & early access
12409,79,3,11072.67,101.58412844036697,5551,91,Switzerland,0,Active Mid,8859.16,Medium,21.1,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12410,309,2,693.3299999999999,26.666538461538458,211,26,Switzerland,1,Dormant Low,121.65,High,82.6,1,2,3,6,Potential Loyalists,Offer membership & personalized offers
12412,75,3,1226.88,20.112786885245903,829,43,Denmark,0,Active Mid,994.93,Medium,20.1,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12413,67,3,758.1,19.95,286,29,France,0,Active Mid,631.22,Medium,17.9,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12414,217,3,562.41,31.244999999999997,300,16,Austria,1,Dormant Low,239.48,High,58.0,1,3,2,6,Potential Loyalists,Offer membership & personalized offers
12415,24,21,124914.53,174.95032212885152,77374,444,Australia,2,VIP,128644.42,Low,6.4,3,4,4,11,Champions,Reward with loyalty program & early access
12417,3,9,3649.1,19.005729166666665,1552,158,Belgium,0,Active Mid,3775.71,Low,0.8,4,4,4,12,Champions,Reward with loyalty program & early access
12418,113,1,668.58,19.664117647058823,407,34,Switzerland,0,Active Mid,468.81,High,30.2,2,1,2,5,At Risk,Send win-back campaign with 20% discount
12420,64,1,600.39,20.70310344827586,345,29,Cyprus,0,Active Mid,500.03,Medium,17.1,2,1,2,5,At Risk,Send re-engagement email with offers
12421,16,4,807.04,17.93422222222222,484,32,Spain,0,Active Mid,787.3,Low,4.3,4,3,3,10,Champions,Reward with loyalty program & early access
12422,96,3,803.5600000000001,20.604102564102565,370,39,Australia,0,Active Mid,605.87,High,25.7,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12423,1,8,1859.31,14.87448,1339,97,Belgium,0,Active Mid,1925.32,Low,0.3,4,4,4,12,Champions,Reward with loyalty program & early access
12424,163,2,1760.96,58.69866666666667,740,30,Australia,1,Dormant Low,1002.99,High,43.6,1,2,4,7,Potential Loyalists,Offer membership & personalized offers
12425,78,1,777.2,21.58888888888889,496,36,Portugal,0,Active Mid,618.05,Medium,20.9,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12426,195,1,582.73,19.424333333333333,258,30,Germany,1,Dormant Low,280.23,High,52.1,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12427,22,3,825.8,26.638709677419353,533,26,Germany,0,Active Mid,788.38,Low,5.9,3,3,3,9,Loyal Customers,Upsell premium products & bundles
12428,26,9,7956.46,27.062789115646257,3536,258,Finland,0,Active Mid,7722.14,Low,7.0,3,4,4,11,Champions,Reward with loyalty program & early access
12429,9,4,3750.4,38.66391752577319,1557,82,Denmark,0,Active Mid,3730.2,Low,2.4,4,3,4,11,Champions,Reward with loyalty program & early access
12430,43,1,256.4,23.30909090909091,117,11,Norway,0,Active Mid,228.01,Low,11.5,3,1,1,5,At Risk,Send re-engagement email with offers
12431,36,15,6487.45,27.606170212765957,2906,163,Australia,3,High Value,6283.78,Low,9.6,3,4,4,11,Champions,Reward with loyalty program & early access
12432,43,5,5059.32,46.845555555555556,1801,107,Norway,0,Active Mid,4584.75,Low,11.5,3,3,4,10,Champions,Reward with loyalty program & early access
12433,1,7,13375.87,31.847309523809525,11071,219,Norway,0,Active Mid,13786.9,Low,0.3,4,4,4,12,Champions,Reward with loyalty program & early access
12434,85,2,806.14,16.122799999999998,394,46,Australia,0,Active Mid,628.89,Medium,22.7,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12435,80,2,7829.89,217.49694444444447,2055,31,Denmark,0,Active Mid,6213.95,Medium,21.4,2,2,4,8,Loyal Customers,Upsell premium products & bundles
12436,100,1,509.01,31.813125,211,16,Norway,0,Active Mid,374.7,High,26.7,2,1,2,5,At Risk,Send win-back campaign with 20% discount
12437,2,18,4951.41,24.88145728643216,2922,118,France,3,High Value,5349.09,Low,0.5,4,4,4,12,Champions,Reward with loyalty program & early access
12438,14,2,2906.85,29.66173469387755,1180,84,Norway,0,Active Mid,2824.81,Low,3.7,4,2,4,10,Champions,Reward with loyalty program & early access
12441,367,1,173.55,15.77727272727273,121,11,France,1,Dormant Low,3.26,High,98.1,1,1,1,3,Lost,Last chance discount or remove from list
12442,3,1,172.06,14.338333333333333,182,12,Spain,0,Active Mid,171.5,Low,0.8,4,1,1,6,Potential Loyalists,Offer membership & personalized offers
12444,21,5,5005.46,28.440113636363638,1153,138,Norway,0,Active Mid,4837.43,Low,5.6,3,3,4,10,Champions,Reward with loyalty program & early access
12445,22,1,133.4,33.35,62,4,Spain,0,Active Mid,126.15,Low,5.9,3,1,1,5,At Risk,Send re-engagement email with offers
12446,58,1,1002.3100000000001,17.584385964912283,351,57,RSA,0,Active Mid,850.92,Medium,15.5,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12447,243,1,476.49,18.326538461538462,190,26,Belgium,1,Dormant Low,167.7,High,65.0,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12448,44,1,449.45,20.429545454545455,243,22,Spain,0,Active Mid,398.47,Low,11.8,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12449,22,4,4067.29,21.294712041884818,1553,118,Belgium,0,Active Mid,3901.3,Low,5.9,3,3,4,10,Champions,Reward with loyalty program & early access
12450,156,2,197.88,24.735,128,7,Spain,1,Dormant Low,116.45,High,41.7,1,2,1,4,At Risk,Send win-back campaign with 20% discount
12451,11,5,9035.52,25.524067796610172,6575,265,Switzerland,0,Active Mid,8979.57,Low,2.9,4,3,4,11,Champions,Reward with loyalty program & early access
12452,17,2,430.57,19.571363636363635,185,21,Switzerland,0,Active Mid,414.93,Low,4.5,4,2,2,8,Loyal Customers,Upsell premium products & bundles
12453,134,1,707.09,16.443953488372095,473,43,Austria,0,Active Mid,455.92,High,35.8,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12454,56,1,3528.34,235.22266666666667,1006,15,Spain,0,Active Mid,3014.39,Medium,15.0,2,1,4,7,Potential Loyalists,Offer membership & personalized offers
12455,73,6,2466.86,27.409555555555556,2089,85,Spain,0,Active Mid,2042.36,Medium,19.5,2,4,4,10,Champions,Reward with loyalty program & early access
12456,44,3,3181.04,25.44832,1633,105,Switzerland,0,Active Mid,2847.09,Low,11.8,3,3,4,10,Champions,Reward with loyalty program & early access
12457,66,7,2363.23,38.11661290322581,843,53,Switzerland,0,Active Mid,2011.37,Medium,17.6,2,4,4,10,Champions,Reward with loyalty program & early access
12458,71,2,947.4,24.931578947368422,506,35,Switzerland,0,Active Mid,774.89,Medium,19.0,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12461,94,2,826.88,23.62514285714286,287,35,Switzerland,0,Active Mid,624.98,High,25.1,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12462,19,2,1189.59,19.186935483870965,536,51,Spain,0,Active Mid,1139.96,Low,5.1,3,2,3,8,Loyal Customers,Upsell premium products & bundles
12463,53,4,1344.78,16.202168674698793,776,65,Belgium,0,Active Mid,1176.3,Medium,14.2,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12464,10,8,1212.05,41.79482758620689,112,6,Belgium,0,Active Mid,1224.8,Low,2.7,4,4,3,11,Champions,Reward with loyalty program & early access
12465,17,2,742.1899999999999,15.79127659574468,479,46,Belgium,0,Active Mid,715.23,Low,4.5,4,2,3,9,Loyal Customers,Upsell premium products & bundles
12468,188,2,729.5400000000001,19.19842105263158,366,36,Germany,1,Dormant Low,366.29,High,50.3,1,2,3,6,Potential Loyalists,Offer membership & personalized offers
12471,2,30,19824.05,43.09576086956522,8212,150,Germany,3,High Value,22548.38,Low,0.5,4,4,4,12,Champions,Reward with loyalty program & early access
12472,32,7,6572.11,19.386755162241887,4148,219,Germany,0,Active Mid,6211.08,Low,8.6,3,4,4,11,Champions,Reward with loyalty program & early access
12473,29,5,3938.5499999999997,23.443749999999998,2439,140,Germany,0,Active Mid,3720.07,Low,7.8,3,3,4,10,Champions,Reward with loyalty program & early access
12474,17,18,7375.79,17.395731132075472,4847,253,Germany,3,High Value,7646.89,Low,4.5,4,4,4,12,Champions,Reward with loyalty program & early access
12475,54,1,723.38,20.093888888888888,535,36,Germany,0,Active Mid,621.9,Medium,14.4,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12476,16,11,6816.42,29.255021459227468,2408,177,Germany,0,Active Mid,6868.22,Low,4.3,4,4,4,12,Champions,Reward with loyalty program & early access
12477,23,6,13219.74,44.065799999999996,3653,191,Germany,0,Active Mid,12762.94,Low,6.1,3,4,4,11,Champions,Reward with loyalty program & early access
12478,4,1,680.99,18.91638888888889,236,36,Greece,0,Active Mid,676.93,Low,1.1,4,1,3,8,Loyal Customers,Upsell premium products & bundles
12479,11,1,527.2,17.006451612903227,385,31,Germany,0,Active Mid,514.14,Low,2.9,4,1,2,7,Potential Loyalists,Offer membership & personalized offers
12480,28,4,3281.63,21.309285714285714,1707,129,Germany,0,Active Mid,3094.05,Low,7.5,3,3,4,10,Champions,Reward with loyalty program & early access
12481,23,10,5596.32,25.789493087557602,3304,150,Germany,0,Active Mid,5503.46,Low,6.1,3,4,4,11,Champions,Reward with loyalty program & early access
12483,17,8,2484.98,33.133066666666664,1110,46,Sweden,0,Active Mid,2462.82,Low,4.5,4,4,4,12,Champions,Reward with loyalty program & early access
12484,33,6,4541.72,13.126358381502891,2191,256,Spain,0,Active Mid,4259.86,Low,8.8,3,4,4,11,Champions,Reward with loyalty program & early access
12488,10,3,1298.66,23.612000000000002,529,46,France,0,Active Mid,1282.08,Low,2.7,4,3,3,10,Champions,Reward with loyalty program & early access
12489,336,1,334.93,22.328666666666667,105,15,France,1,Dormant Low,34.19,High,89.8,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12490,5,10,5417.93,22.114,3064,131,France,0,Active Mid,5601.26,Low,1.3,4,4,4,12,Champions,Reward with loyalty program & early access
12491,39,1,460.40000000000003,17.70769230769231,260,25,France,0,Active Mid,414.36,Low,10.4,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12492,63,2,263.21000000000004,13.160500000000003,192,19,Germany,0,Active Mid,220.97,Medium,16.8,2,2,1,5,At Risk,Send re-engagement email with offers
12493,166,2,433.74,19.715454545454545,207,20,France,1,Dormant Low,243.53,High,44.4,1,2,2,5,At Risk,Send win-back campaign with 20% discount
12494,16,7,1246.1000000000001,16.183116883116885,707,63,France,0,Active Mid,1232.74,Low,4.3,4,4,3,11,Champions,Reward with loyalty program & early access
12497,82,1,1043.1,74.50714285714285,1236,14,Germany,0,Active Mid,818.3,Medium,21.9,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12498,21,3,403.70000000000005,17.55217391304348,159,21,Germany,0,Active Mid,386.5,Low,5.6,3,3,2,8,Loyal Customers,Upsell premium products & bundles
12500,23,11,4257.82,69.80032786885245,2678,34,Germany,0,Active Mid,4206.29,Low,6.1,3,4,4,11,Champions,Reward with loyalty program & early access
12501,337,1,2169.39,14.559664429530201,1783,149,Germany,1,Dormant Low,215.65,High,90.1,1,1,4,6,Potential Loyalists,Offer membership & personalized offers
12502,96,5,3723.87,25.332448979591835,820,102,Spain,0,Active Mid,2834.23,High,25.7,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12504,18,2,482.04999999999995,53.5611111111111,90,6,Germany,0,Active Mid,463.24,Low,4.8,4,2,2,8,Loyal Customers,Upsell premium products & bundles
12506,233,1,73.5,3.1956521739130435,23,23,France,1,Dormant Low,27.84,High,62.3,1,1,1,3,Lost,Last chance discount or remove from list
12507,134,3,1304.81,62.13380952380952,894,19,Spain,0,Active Mid,849.33,High,35.8,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12508,26,2,398.27,5.772028985507246,272,57,France,0,Active Mid,374.13,Low,7.0,3,2,2,7,Potential Loyalists,Offer membership & personalized offers
12509,284,1,176.5,25.214285714285715,55,7,France,1,Dormant Low,42.68,High,75.9,1,1,1,3,Lost,Last chance discount or remove from list
12510,143,2,982.5699999999999,29.774848484848484,353,29,Spain,0,Active Mid,612.69,High,38.2,1,2,3,6,Potential Loyalists,Offer membership & personalized offers
12512,66,2,138.03,4.059705882352941,99,31,Israel,0,Active Mid,114.76,Medium,17.6,2,2,1,5,At Risk,Send re-engagement email with offers
12513,113,1,612.29,17.494,462,35,France,0,Active Mid,429.34,High,30.2,2,1,2,5,At Risk,Send win-back campaign with 20% discount
12514,267,1,1017.68,19.954509803921567,440,51,Italy,1,Dormant Low,292.55,High,71.4,1,1,3,5,At Risk,Send win-back campaign with 20% discount
12515,353,1,383.7,23.98125,131,16,Italy,1,Dormant Low,21.65,High,94.4,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12516,78,2,1312.06,50.46384615384615,875,20,Germany,0,Active Mid,1048.36,Medium,20.9,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12517,28,5,2502.84,8.812816901408452,1371,232,Germany,0,Active Mid,2370.86,Low,7.5,3,3,4,10,Champions,Reward with loyalty program & early access
12518,1,5,2056.89,16.58782258064516,1318,84,Germany,0,Active Mid,2100.47,Low,0.3,4,3,4,11,Champions,Reward with loyalty program & early access
12519,64,1,340.84,18.935555555555553,183,17,Germany,0,Active Mid,283.87,Medium,17.1,2,1,2,5,At Risk,Send re-engagement email with offers
12520,79,5,2634.26,17.330657894736845,1439,121,Germany,0,Active Mid,2127.53,Medium,21.1,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12521,143,1,599.68,15.781052631578946,309,38,Germany,1,Dormant Low,372.16,High,38.2,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12522,39,2,192.72,16.06,194,11,Germany,0,Active Mid,174.28,Low,10.4,3,2,1,6,Potential Loyalists,Offer membership & personalized offers
12523,19,11,1789.77,16.884622641509434,865,84,France,0,Active Mid,1788.26,Low,5.1,3,4,4,11,Champions,Reward with loyalty program & early access
12524,9,8,4485.72,31.150833333333335,3699,113,Germany,0,Active Mid,4545.35,Low,2.4,4,4,4,12,Champions,Reward with loyalty program & early access
12526,1,3,1316.66,18.54450704225352,632,64,Germany,0,Active Mid,1331.99,Low,0.3,4,3,3,10,Champions,Reward with loyalty program & early access
12527,82,3,348.71000000000004,19.37277777777778,234,18,Germany,0,Active Mid,276.16,Medium,21.9,2,3,2,7,Potential Loyalists,Offer membership & personalized offers
12528,9,6,1933.48,21.01608695652174,756,50,Germany,0,Active Mid,1941.12,Low,2.4,4,4,4,12,Champions,Reward with loyalty program & early access
12530,60,4,1662.28,25.186060606060607,913,51,Germany,0,Active Mid,1422.31,Medium,16.0,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12531,15,1,125.22,7.365882352941177,45,17,Germany,0,Active Mid,120.77,Low,4.0,4,1,1,6,Potential Loyalists,Offer membership & personalized offers
12532,30,1,349.83000000000004,21.864375000000003,153,16,France,0,Active Mid,323.31,Low,8.0,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12534,131,1,1089.18,17.28857142857143,651,63,Germany,0,Active Mid,711.06,High,35.0,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12535,92,2,716.35,21.069117647058825,219,28,France,0,Active Mid,545.3,High,24.6,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12536,43,3,12601.830000000002,48.282873563218395,2803,260,France,0,Active Mid,11313.05,Low,11.5,3,3,4,10,Champions,Reward with loyalty program & early access
12538,29,1,363.95,17.33095238095238,191,21,Spain,0,Active Mid,337.34,Low,7.8,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12539,22,4,5568.35,20.396886446886448,2067,157,Spain,0,Active Mid,5341.1,Low,5.9,3,3,4,10,Champions,Reward with loyalty program & early access
12540,20,17,13400.24,28.03397489539749,6685,277,Spain,3,High Value,13715.33,Low,5.3,3,4,4,11,Champions,Reward with loyalty program & early access
12541,30,3,981.18,18.868846153846153,680,46,Spain,0,Active Mid,915.43,Low,8.0,3,3,3,9,Loyal Customers,Upsell premium products & bundles
12544,36,1,372.7,19.61578947368421,136,19,Spain,0,Active Mid,338.44,Low,9.6,3,1,2,6,Potential Loyalists,Offer membership & personalized offers
12545,75,2,1000.39,20.0078,523,42,Spain,0,Active Mid,807.43,Medium,20.1,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12546,47,2,1161.5,16.833333333333332,633,59,Spain,0,Active Mid,1025.25,Medium,12.6,3,2,3,8,Loyal Customers,Upsell premium products & bundles
12547,198,2,207.79999999999998,25.974999999999998,134,7,Spain,1,Dormant Low,98.72,High,52.9,1,2,1,4,At Risk,Send win-back campaign with 20% discount
12548,166,1,95.19999999999999,19.04,49,5,Spain,1,Dormant Low,53.2,High,44.4,1,1,1,3,Lost,Last chance discount or remove from list
12550,79,1,964.83,16.92684210526316,569,57,Spain,0,Active Mid,764.67,Medium,21.1,2,1,3,6,Potential Loyalists,Offer membership & personalized offers
12551,358,1,168.0,16.8,100,10,Spain,1,Dormant Low,7.22,High,95.7,1,1,1,3,Lost,Last chance discount or remove from list
12552,39,2,437.82,21.891,88,20,Italy,0,Active Mid,395.92,Low,10.4,3,2,2,7,Potential Loyalists,Offer membership & personalized offers
12553,8,10,3692.28,19.33130890052356,1965,95,France,0,Active Mid,3786.19,Low,2.1,4,4,4,12,Champions,Reward with loyalty program & early access
12556,50,2,603.71,4.989338842975207,358,100,Spain,0,Active Mid,528.0,Medium,13.4,3,2,2,7,Potential Loyalists,Offer membership & personalized offers
12557,16,5,11990.960000000001,363.36242424242425,4384,15,Spain,0,Active Mid,11752.57,Low,4.3,4,3,4,11,Champions,Reward with loyalty program & early access
12558,8,1,269.96,24.54181818181818,196,11,USA,0,Active Mid,265.45,Low,2.1,4,1,1,6,Potential Loyalists,Offer membership & personalized offers
12559,311,2,561.71,26.74809523809524,283,21,Germany,1,Dormant Low,95.53,High,83.2,1,2,2,5,At Risk,Send win-back campaign with 20% discount
12560,5,3,2134.01,20.323904761904764,1110,91,Germany,0,Active Mid,2135.7,Low,1.3,4,3,4,11,Champions,Reward with loyalty program & early access
12561,303,1,238.85,14.928125,177,16,Germany,1,Dormant Low,45.56,High,81.0,1,1,1,3,Lost,Last chance discount or remove from list
12562,8,7,3781.7400000000002,22.510357142857146,1779,99,France,0,Active Mid,3824.8,Low,2.1,4,4,4,12,Champions,Reward with loyalty program & early access
12564,261,1,456.9,21.757142857142856,133,21,France,1,Dormant Low,138.71,High,69.8,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12565,289,1,145.92,16.21333333333333,80,9,Saudi Arabia,1,Dormant Low,33.32,High,77.3,1,1,1,3,Lost,Last chance discount or remove from list
12566,86,1,351.65,18.507894736842104,265,19,Germany,0,Active Mid,272.08,Medium,23.0,2,1,2,5,At Risk,Send re-engagement email with offers
12567,23,10,9401.28,21.079103139013455,4305,323,France,0,Active Mid,9245.29,Low,6.1,3,4,4,11,Champions,Reward with loyalty program & early access
12569,2,32,4124.69,21.939840425531912,1801,92,Germany,3,High Value,4730.79,Low,0.5,4,4,4,12,Champions,Reward with loyalty program & early access
12571,40,2,519.61,15.28264705882353,523,31,France,0,Active Mid,468.48,Low,10.7,3,2,2,7,Potential Loyalists,Offer membership & personalized offers
12572,9,2,1020.42,17.006999999999998,452,53,Germany,0,Active Mid,1005.39,Low,2.4,4,2,3,9,Loyal Customers,Upsell premium products & bundles
12573,227,1,160.54000000000002,5.733571428571429,84,26,France,1,Dormant Low,63.4,High,60.7,1,1,1,3,Lost,Last chance discount or remove from list
12574,316,1,218.45,19.85909090909091,61,11,France,1,Dormant Low,34.04,High,84.5,1,1,1,3,Lost,Last chance discount or remove from list
12576,36,5,1315.83,14.952613636363635,967,72,Poland,0,Active Mid,1217.62,Low,9.6,3,3,3,9,Loyal Customers,Upsell premium products & bundles
12577,35,3,657.8,4.474829931972788,472,137,France,0,Active Mid,604.8,Low,9.4,3,3,2,8,Loyal Customers,Upsell premium products & bundles
